# {"t_start": 1583170709.792806, "env_id": "HaroldReach-v0"} 
r,l,t
-200.0,200,4.154757
-200.0,200,6.18646
-200.0,200,8.067135
-200.0,200,9.999631
-200.0,200,11.946072
-198.0,200,13.962157
-200.0,200,15.914156
-200.0,200,17.845279
-200.0,200,19.675332
-200.0,200,21.55677
-200.0,200,23.364156
-200.0,200,25.274063
-200.0,200,27.167356
-200.0,200,29.054231
-200.0,200,30.937774
-200.0,200,32.854732
-200.0,200,34.834691
-200.0,200,36.743242
-200.0,200,38.781107
-200.0,200,40.832674
-193.0,200,42.970398
-200.0,200,45.023289
-200.0,200,47.155334
-200.0,200,49.13837
-200.0,200,51.246626
-196.0,200,53.255123
-200.0,200,55.395069
-200.0,200,57.493401
-200.0,200,59.598235
-200.0,200,61.710922
-198.0,200,63.885671
-200.0,200,65.975978
-200.0,200,68.200162
-200.0,200,70.324296
-200.0,200,72.452516
-200.0,200,74.628558
-200.0,200,76.820985
-200.0,200,79.00719
-200.0,200,81.194323
-200.0,200,83.3441
-200.0,200,85.627588
-200.0,200,87.81821
-200.0,200,90.058845
-200.0,200,92.333162
-200.0,200,94.648413
-200.0,200,96.908211
-200.0,200,99.234921
-200.0,200,101.544636
-200.0,200,103.865209
-200.0,200,106.354506
-200.0,200,108.626779
-200.0,200,109.689061
-200.0,200,110.703158
-200.0,200,111.731797
-200.0,200,112.797273
-200.0,200,113.835025
-200.0,200,114.866182
-200.0,200,115.882991
-200.0,200,116.957492
-200.0,200,117.998276
-200.0,200,119.084584
-200.0,200,121.320872
-200.0,200,123.580882
-200.0,200,125.959651
-200.0,200,128.343106
-200.0,200,130.717746
-114.0,200,133.036231
-162.0,200,135.365391
-200.0,200,137.646663
-200.0,200,139.920245
-200.0,200,142.181695
-200.0,200,144.501224
-200.0,200,146.811695
-200.0,200,149.23846
-200.0,200,151.551029
-200.0,200,153.896544
-200.0,200,156.301162
-200.0,200,158.549565
-200.0,200,160.798087
-200.0,200,163.152383
-200.0,200,165.530504
-200.0,200,167.828922
-200.0,200,170.195722
-182.0,200,172.512261
-200.0,200,174.841086
-200.0,200,177.295342
-200.0,200,179.652736
-200.0,200,181.957676
-200.0,200,184.333703
-200.0,200,186.743251
-200.0,200,189.141649
-200.0,200,191.526252
-200.0,200,193.968879
-200.0,200,196.364396
-128.0,200,198.789542
-199.0,200,201.200015
-200.0,200,203.663767
-200.0,200,206.06378
-200.0,200,208.52943
-200.0,200,210.907956
-200.0,200,213.269379
-192.0,200,215.725647
-200.0,200,218.134494
-200.0,200,220.569902
-200.0,200,222.977278
-200.0,200,225.375458
-200.0,200,227.756644
-200.0,200,230.197742
-200.0,200,232.694655
-200.0,200,235.139091
-200.0,200,237.511973
-200.0,200,238.504256
-200.0,200,239.529347
-200.0,200,240.577375
-181.0,200,241.733689
-200.0,200,242.743862
-200.0,200,243.758425
-200.0,200,244.984982
-200.0,200,245.962009
-200.0,200,246.940862
-200.0,200,247.936194
-200.0,200,250.358986
-200.0,200,252.787209
-200.0,200,255.21459
-166.0,200,257.598634
-200.0,200,259.991714
-200.0,200,262.418102
-200.0,200,264.8313
-200.0,200,267.345505
-200.0,200,269.804103
-200.0,200,272.27178
-200.0,200,274.634115
-194.0,200,277.154794
-200.0,200,279.582442
-200.0,200,282.076275
-200.0,200,284.452578
-200.0,200,286.959991
-200.0,200,289.400873
-200.0,200,291.841883
-187.0,200,294.274504
-196.0,200,296.776819
-200.0,200,299.257388
-200.0,200,301.777096
-172.0,200,304.238308
-200.0,200,306.665705
-200.0,200,309.097301
-200.0,200,311.628968
-200.0,200,314.029155
-200.0,200,316.535244
-198.0,200,319.025604
-200.0,200,321.534078
-200.0,200,324.030829
-200.0,200,326.498343
-192.0,200,329.02508
-200.0,200,331.504007
-200.0,200,333.990614
-200.0,200,336.455896
-200.0,200,338.952029
-200.0,200,341.403277
-200.0,200,343.9199
-200.0,200,346.407624
-194.0,200,348.960428
-200.0,200,351.460335
-36.0,200,353.972433
-200.0,200,356.42332
-200.0,200,358.994648
-200.0,200,361.543688
-200.0,200,364.009573
-193.0,200,366.566254
-200.0,200,369.074374
-200.0,200,371.541728
-200.0,200,372.568605
-200.0,200,373.640818
-200.0,200,374.639025
-200.0,200,375.732368
-200.0,200,376.773484
-200.0,200,377.745003
-200.0,200,378.786998
-200.0,200,379.772743
-200.0,200,380.806794
