epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,63.19313,74.41174,7.54552,8.574135,10.0,-7.7259903,0.2,50.0,0.04
1,63.272705,74.28164,7.557291,8.615486,20.0,-7.29617,0.0,100.0,0.04
2,63.97978,73.85406,7.642692,8.615482,30.0,-9.087899,0.1,150.0,0.16
3,64.97186,74.29283,7.7584405,8.706549,40.0,-9.962175,0.2,200.0,0.1
4,64.06015,74.389,7.659541,8.753003,50.0,-10.778231,0.1,250.0,0.08
5,63.204556,74.532036,7.565948,8.799003,60.0,-9.912277,0.2,300.0,0.06
6,63.182068,74.4963,7.563485,8.822585,70.0,-12.131656,0.0,350.0,0.12
7,62.743214,74.63581,7.5127897,8.86578,80.0,-11.327106,0.0,400.0,0.06
8,64.05111,74.57553,7.664052,8.881504,90.0,-11.3139515,0.1,450.0,0.04
9,63.704372,74.77917,7.627641,8.926303,100.0,-12.364225,0.1,500.0,0.1
10,63.83319,74.92822,7.6446366,8.96125,110.0,-11.21829,0.0,550.0,0.08
11,63.539516,74.963936,7.612739,8.978462,120.0,-12.51911,0.1,600.0,0.06
12,62.788803,75.285324,7.5294585,9.030185,130.0,-13.070636,0.0,650.0,0.08
13,62.944138,75.45844,7.547629,9.062201,140.0,-14.063904,0.2,700.0,0.12
14,63.301136,75.7364,7.5886188,9.106387,150.0,-14.427777,0.1,750.0,0.08
15,62.796124,75.70269,7.529688,9.112979,160.0,-16.259983,0.1,800.0,0.06
16,63.004562,75.63957,7.5546618,9.114905,170.0,-15.384377,0.0,850.0,0.06
17,62.901073,75.94604,7.5436273,9.159167,180.0,-15.460507,0.1,900.0,0.02
18,63.09422,75.99048,7.5644436,9.17263,190.0,-15.412715,0.1,950.0,0.14
19,63.36705,75.75163,7.5952587,9.151944,200.0,-17.948908,0.1,1000.0,0.04
20,63.45528,75.72441,7.6064363,9.156218,210.0,-17.297417,0.0,1050.0,0.12
21,63.219883,75.7778,7.5796223,9.166428,220.0,-17.806131,0.0,1100.0,0.14
22,63.27467,75.95699,7.586836,9.191914,230.0,-16.964283,0.1,1150.0,0.08
23,63.082336,75.99441,7.565133,9.201557,240.0,-18.508179,0.0,1200.0,0.1
24,63.32193,75.847336,7.5926933,9.188833,250.0,-18.802738,0.1,1250.0,0.02
25,63.402393,75.88389,7.6024294,9.198217,260.0,-18.401009,0.0,1300.0,0.08
26,63.493343,75.745865,7.6139307,9.186787,270.0,-20.670689,0.0,1350.0,0.08
27,63.802074,75.79537,7.6490693,9.196336,280.0,-19.90133,0.0,1400.0,0.1
28,63.908905,75.8655,7.6612554,9.208208,290.0,-20.23923,0.1,1450.0,0.06
29,64.05939,75.89719,7.6790023,9.213948,300.0,-21.898966,0.1,1500.0,0.1
30,64.22887,76.00473,7.6992106,9.229447,310.0,-24.19896,0.1,1550.0,0.04
31,64.72881,75.92122,7.7559843,9.222381,320.0,-20.07489,0.1,1600.0,0.1
32,64.51095,75.962524,7.731607,9.229549,330.0,-21.504042,0.2,1650.0,0.18
33,64.74092,75.96278,7.7582116,9.232783,340.0,-20.078695,0.1,1700.0,0.14
34,64.95932,76.33257,7.7843885,9.269208,350.0,-21.408306,0.1,1750.0,0.04
35,65.05442,76.41078,7.795259,9.281691,360.0,-21.784689,0.1,1800.0,0.06
36,64.92614,76.566345,7.7817445,9.2936535,370.0,-22.598484,0.0,1850.0,0.1
37,64.891106,76.71181,7.7777104,9.313111,380.0,-26.137188,0.0,1900.0,0.02
38,64.98506,76.73148,7.7879558,9.317912,390.0,-24.777515,0.1,1950.0,0.06
39,65.0532,76.67738,7.796048,9.314142,400.0,-23.424282,0.1,2000.0,0.14
40,65.30732,76.64047,7.8247814,9.3129425,410.0,-27.254562,0.0,2050.0,0.2
41,65.30186,76.58571,7.82404,9.308822,420.0,-23.893696,0.0,2100.0,0.1
42,65.28597,76.60111,7.822047,9.313157,430.0,-25.712275,0.2,2150.0,0.12
43,65.42568,76.60623,7.838244,9.315913,440.0,-25.809109,0.1,2200.0,0.1
44,65.63651,76.70257,7.8624315,9.329458,450.0,-25.498829,0.1,2250.0,0.04
45,65.81489,76.73807,7.882499,9.335947,460.0,-25.509293,0.1,2300.0,0.04
46,66.1058,76.805565,7.9153943,9.345848,470.0,-25.396114,0.1,2350.0,0.12
47,65.897804,76.8411,7.891758,9.3523855,480.0,-27.363531,0.1,2400.0,0.08
48,65.8964,76.782906,7.8921895,9.347871,490.0,-26.250713,0.1,2450.0,0.0
49,65.88865,76.857925,7.892038,9.358833,500.0,-23.704157,0.0,2500.0,0.04
50,65.911224,76.78089,7.8943825,9.352206,510.0,-30.356525,0.3,2550.0,0.06
51,66.04211,76.69406,7.90865,9.34416,520.0,-28.090103,0.1,2600.0,0.04
52,66.07346,76.82857,7.9123106,9.361431,530.0,-29.05535,0.1,2650.0,0.04
53,66.08115,76.78027,7.913206,9.357718,540.0,-29.913345,0.1,2700.0,0.02
54,66.18972,76.80474,7.926319,9.3624325,550.0,-30.299885,0.2,2750.0,0.06
55,66.3083,76.75678,7.9395423,9.358067,560.0,-34.482555,0.0,2800.0,0.08
56,66.35262,76.83649,7.944133,9.368344,570.0,-26.908985,0.1,2850.0,0.04
57,66.18178,76.87532,7.9249225,9.373959,580.0,-30.213867,0.1,2900.0,0.1
58,66.143684,76.897896,7.9208837,9.377628,590.0,-29.794052,0.0,2950.0,0.1
59,66.13395,76.79911,7.9196324,9.366824,600.0,-27.455185,0.2,3000.0,0.06
60,65.988625,76.85053,7.903322,9.373264,610.0,-31.793406,0.0,3050.0,0.18
61,65.94897,76.866264,7.8992205,9.375459,620.0,-29.920498,0.0,3100.0,0.1
62,65.77553,76.84858,7.879397,9.373635,630.0,-28.645626,0.1,3150.0,0.08
63,65.72019,76.80872,7.873668,9.369418,640.0,-30.0198,0.2,3200.0,0.06
64,65.795654,76.84544,7.8819704,9.374155,650.0,-29.140848,0.1,3250.0,0.06
65,65.81328,76.8827,7.884475,9.380142,660.0,-32.48951,0.0,3300.0,0.1
66,65.61483,76.7779,7.8623085,9.368515,670.0,-34.124855,0.0,3350.0,0.08
67,65.68975,76.79947,7.870662,9.371982,680.0,-29.22189,0.0,3400.0,0.02
68,65.717995,76.77447,7.8741455,9.369482,690.0,-29.404095,0.2,3450.0,0.04
69,65.70222,76.850555,7.8722143,9.377778,700.0,-31.948553,0.3,3500.0,0.06
70,65.749855,76.83316,7.877725,9.375394,710.0,-30.351242,0.0,3550.0,0.04
71,65.769615,76.78283,7.880691,9.3687525,720.0,-36.327576,0.2,3600.0,0.04
72,65.656624,76.77306,7.8675427,9.367357,730.0,-29.84671,0.2,3650.0,0.1
73,65.64895,76.73663,7.8665295,9.362764,740.0,-29.650173,0.1,3700.0,0.06
74,65.68932,76.71222,7.870833,9.359361,750.0,-34.01885,0.1,3750.0,0.06
75,65.68634,76.694405,7.870717,9.356917,760.0,-31.454525,0.3,3800.0,0.06
76,65.52393,76.758736,7.8521986,9.363507,770.0,-31.864847,0.0,3850.0,0.06
77,65.48076,76.71014,7.847212,9.356,780.0,-30.31495,0.1,3900.0,0.06
78,65.38299,76.69817,7.836238,9.3518095,790.0,-35.881016,0.2,3950.0,0.06
79,65.34403,76.691864,7.831678,9.345906,800.0,-35.67807,0.2,4000.0,0.12
80,65.37249,76.59423,7.835111,9.323861,810.0,-38.020042,0.2,4050.0,0.12
81,65.28624,76.59147,7.8232756,9.320413,820.0,-53.047363,0.2,4100.0,0.02
82,65.38953,76.56606,7.8335075,9.319922,830.0,-54.99705,0.0,4150.0,0.08
83,65.408165,76.53572,7.835571,9.319038,840.0,-52.51406,0.0,4200.0,0.02
84,65.490944,76.4605,7.8452854,9.313513,850.0,-44.6503,0.3,4250.0,0.06
85,65.56687,76.37617,7.8543773,9.307206,860.0,-47.1367,0.2,4300.0,0.06
86,65.611084,76.29367,7.859611,9.301054,870.0,-47.37511,0.2,4350.0,0.06
87,65.76858,76.312195,7.878038,9.306889,880.0,-43.588757,0.0,4400.0,0.12
88,65.66877,76.26717,7.86721,9.305199,890.0,-47.065834,0.0,4450.0,0.04
89,65.647995,76.27893,7.865417,9.310243,900.0,-48.719078,0.0,4500.0,0.1
90,65.66577,76.22695,7.8678155,9.308647,910.0,-43.009033,0.2,4550.0,0.08
91,65.843636,76.296974,7.888031,9.320841,920.0,-47.47521,0.0,4600.0,0.06
92,65.916664,76.278984,7.896344,9.322879,930.0,-45.635063,0.0,4650.0,0.06
93,65.93603,76.26098,7.8986073,9.3255825,940.0,-45.8823,0.1,4700.0,0.06
94,65.92104,76.19782,7.896908,9.323547,950.0,-43.62745,0.3,4750.0,0.08
95,65.87618,76.125595,7.891693,9.321447,960.0,-50.726562,0.0,4800.0,0.12
96,65.92752,75.998055,7.89702,9.313969,970.0,-47.589306,0.1,4850.0,0.08
97,65.94154,75.910835,7.898744,9.3174305,980.0,-50.23995,0.3,4900.0,0.08
98,65.98288,75.8404,7.905546,9.313724,990.0,-84.32833,0.0,4950.0,0.02
99,65.977585,75.82958,7.9100895,9.309892,1000.0,-83.51412,0.0,5000.0,0.0
